"name","month","dnoc","bugfixes"
"dev115","2010-08",2,5
"dev112","2010-08",1,1
"dev115","2010-09",2,6
"dev115","2010-10",1,3
"dev115","2010-11",0,1
"dev115","2010-12",10,3
"dev115","2011-01",7,7
"dev115","2011-02",12,4
"dev115","2011-03",5,0
"dev112","2011-04",0,1
"dev115","2011-04",6,2
"dev115","2011-05",4,0
"dev115","2011-07",1,3
"dev115","2011-08",1,1
"dev115","2011-09",8,2
"dev112","2012-01",2,0
"dev112","2011-08",0,1
"dev115","2011-10",3,1
"dev115","2011-11",1,0
